commentaire,dialect,classe
والله انك انت بتحكي بأصلك كرمال هيك عم بحاربوك من الضاحية ألف سلام لرجل الجبل وئام وهاب,Lebanon,normal
ههههههههههيحزنني جدا ان مواليهم يصدقونهم,Lebanon,normal
وﷲ صاير مهزله هالمغرد,Lebanon,abusive
ضياع الهوية السورية هلأ نحنا سوريين ولا عرب سوريين ولا كرد سوريين ولا آشور ولا سريان ولا تركمان,Lebanon,normal
ضاربة الحمي بالنخاشيش,Lebanon,normal
جبران باسيل وزير لبناني أو وزير في الحكومة السورية أصبح سوري أكثر من السوريين أنفسهم أمره عجيب غريب,Lebanon,normal
يا تعتيري,Lebanon,normal
معاليك يبدو اننا نحتاج الى شعبٍ جديد بكل اسف,Lebanon,normal
ديما بحبك كتير وكلي خرا بعرفك بتحبي البهدلة♡,Lebanon,abusive
لا تندهي ما في حدا,Lebanon,normal
دغري بدكم تفوتو بخصوصيات الناس طيب ما اموال كتار معروفة و مش معروفة منوين جابتهن بتفتح…,Lebanon,normal
يا فندم لن يغيروا المورث  دا كل مايعرفوة وضمان لسيطرتهم  على شاربى بول البعير عقولهم فارغة لايعرفون  سوى القتل والج…,Lebanon,hate
انت من وان بطفوك,Lebanon,normal
إذا كان حسن نصرالله شكر جبران باسيل حقيقي,Lebanon,normal
اكيد حكي عن حقه بعدد الوزارات يلي بيستحقها التكتل,Lebanon,normal
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو…,Lebanon,hate
لكل فاسد نهاية و الوقت هو الاهم لن يدوم فسادهم,Lebanon,normal
معناته وصخ ونثيا يخلي راسه براس الحريم  اثراهم يعرفون لكم عشان كذا دايسينكم زي النعال,Lebanon,hate
أفادت معلومات من الأمانة العامة للجامعة العربية ان وزير خارجية لبنان جبران باسيل نجح في إخراج صيغة لبيان خاص بعودة…,Lebanon,normal
ساعة بتقول حرامي وساعة بتقول مفلس وأفلس شركات والده ، يا فهيم لي كان ماسك شركات والده قبل الاغتيال هوي الشيخ سعد ،ومين حضرتك لتقرر ومع مين ، ما مبارح كنت عم تسب الشيخ نعيم من شان الانتخابات ، يا زلمة مختار ما طلعلك وجاي عم تقرر ب لحدا انت,Lebanon,normal
منتمنى عليك تسكر تمك لانو خلص طفح الكيل العقاب لوهاب وهاب قاتل ابو دياب,Lebanon,normal
معليه هيدي بدكن تسمحولي  رد عليها ، ليكي ولي...... بول البعير بتشربيه م…,Lebanon,normal
صدق وهو كذوب انت اكبر ارهابي و منافق,Lebanon,abusive
هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,Lebanon,hate
بس يا وسخ,Lebanon,hate
كلاب جبران,Lebanon,abusive
حتى لو اجتمع جبران باسيل ب نتنياهو حزب الله سيصمت ف الحزب لا يستطيع ازعاج باسيل لانه بحاجة لغطاء مسيحي يشرع…,Lebanon,normal
ناهق ياحمار لين تموت فطيس زى اى خنزير نجس يانجس,Lebanon,hate
لا تتريق وتتبجح على الرجل انت ما زلت تشرب بول البعير,Lebanon,hate
يا بغل العلم الي حضرتك حاطه هو علم تركيا يا طشم يعني مابعرف غبائك العجيب وراثة ام اجتهاد شخصي بس ترى يلبقلك علم تركيا لان علم الحمير على حساب مستجحش,Lebanon,hate
في الزواج : هي بايرة أما هو فأعزب،,Lebanon,hate
اللاجئون: [     هذا الرقم مبالغ فيه...ويتضمن اللاجئون من الدول الشقيقيه.…,Lebanon,normal
انت حمار ولا بستحمر يا أستاذ زلوم,Lebanon,abusive
هذا مو مهايطي هذا مريض نفسي وحديث نعمه ..بالضبط يشبه صنف الحريم اللي يصورون اشيائهم الماركه اول مايشترونها…,Lebanon,hate
بس وصلت لعند محافظ على تقاليدو ودينو كنت رح أغلط عتقاليدو ودينو,Lebanon,normal
فيديو| صحفية تضرب مشجع حاول التحرش بها على الهواء,Lebanon,normal
اختشي يالمسترجلة,Lebanon,abusive
اشتقنا لحوارات دراما من نوع انتِ وحدة كاسرة وفاجرة ولقيطة وبنت حقلة,Lebanon,abusive
لا والله ان مصر عصيه عليه وعلي مليون زي تميم البغل ده,Lebanon,abusive
لو في دولة بتبعت بتلمك انت وكل الزبالة اللي متلك,Lebanon,abusive
الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,Lebanon,hate
مش بس مختل ، على ذمتى انه حشّاش كمان ، مع إحترامي للحشّاشين,Lebanon,abusive
الحريم خبيثات,Lebanon,hate
احنا عارفين القصة كاملة ومن وراها ..ومن يدعمها ترونا محنا اغبياء والشيخ( قوقل) موجود…,Lebanon,normal
لم يقل جبران باسيل غير ذلك كلامه دبلوماسي,Lebanon,normal
شعرة مـن جـلد خنزير,Lebanon,hate
أيا تخبيص يا سحر؟,Lebanon,normal
يريد قانون لأنه ما يقدر يمسك نفسه إذا شاف متبرجه !,Lebanon,normal
مين الأخت مقنعة أكتر من سعادة السفير,Lebanon,normal
كلامي ان حزب الله الحامي الوحيد للبنان معناه ان في لبنان,Lebanon,normal
لو فعلاً بيهرب كان هرب لدولة اوربيه مش عربيه يحكمها خنازير ايران هؤلاء اكذب من ابليس ومن ص…,Lebanon,hate
اذا بين كل يللي عم بيصير وينقال وينكتب استنتجتي انو اسلوبي انا اللي بذيء بتكوني وحدة مهبولة مع احترامي ههههه,Lebanon,abusive
يا كلاب يا ام تي في جيبو سيرت فلسطين انتم الصهاينة عملاء,Lebanon,abusive
هدا الشعب اللي طرد الاسرائيلي ، لازم يصحى يوم ويطرد أصحاب المواكب ، لبنان كان درة المنطقة ، مو حرام…,Lebanon,normal
شوية غباء على تطبيل جبران باسيل,Lebanon,abusive
الاستاذ أبراهيم قال أنو كان في تجاهل تام من الوكالة الوطنية للأعلام وتلفزيون لبنان كتغطية وكحضور,Lebanon,normal
ما حد طلب شهادتك يا لوح,Lebanon,abusive
مبيجيش غير قبل الفجر بربع ساعة وسخ,Lebanon,normal
عباس يا نوري يا قرباطي اعرف من هو اباك اعمل ال د ان اي يا حفيد السستالني,Lebanon,hate
نصر الله يكسر الصمت لما السكوت عن تصريحات جبران باسيل هل فقط لان حزب الله بحاجة الى…,Lebanon,normal
تخسى يا خنزير إيران،,Lebanon,hate
ما هذا يادكتور علي خطأ قد يصفه البعض بغير المغتفر لانه في موقع من المسئولي…,Lebanon,normal
بديت أفهم سياسة الدول تخلون الحريم يفرحون بيوم ما فيه إلا معلمات ياكلون ويطلعون مزرعة وينصرفون الطالبات البيت قبل ا…,Lebanon,hate
صغير وراح تبقى صغير,Lebanon,abusive
من جد الأعلام عندنا ظالم جدا ولو انها متبرجه كان اظهروها أعلامنا كأنها محاربه ولك…,Lebanon,hate
كلكن على بعدكن فركوشين ونص من بعد الجمعة طبعا وبقرارة نفسكن بتعرفو هالشي بنسبة من الدروز والك عين,Lebanon,normal
المقارنة بين جبران باسيل والدكتور سمير جعجع لا تجوز،الاول ناشئ في السياسة وا…,Lebanon,normal
كلنا ع طريق الشهيد محمد,Lebanon,normal
ظبعاً ظبعاً اصلن الديرية مو عرب,Lebanon,normal
هو المتحدث باسم العدو في فلسطين المحتلة وانت في لبنان ف كول هوا وانضب بلا جعدنة حكي تفهههههه عشكلك واطي,Lebanon,abusive
بس الحزب يلي تنتمي اليه يا دكتور منو علماني ولا يساري ولا اشتراكي هو عائلة سياسية تتوارث الزعامة على قطيع من البشر,Lebanon,normal
استقبال كبير لأكثر واحد وسخ بالكون  هدفهم نكاية الاهلي ولكن اهانوا انفسهم بأنفسهم.,Lebanon,hate
هي دي مشكلة كل خنازير البنا تعتقد ان الاخرين كلهم تابعين مثلهم للسمع والطاعة واقولها لأمثا…,Lebanon,hate
ولو اتخطبت تبقا خاينه وقليله الاصل ...ولو فضلت مستنياه تبقا بايره ومش لاقيه حد يعبرها فيهملها واول ماتجيله فرصه يخط…,Lebanon,hate
الاسد لا حضور له مع الخراف,Lebanon,normal
واصح من ردك انك غبية روحي عالمطبخ يا قلبي,Lebanon,hate
شو أشبو سعيد ميرزا يا فهيم ، ما كنت انت وغيرك بدكن رضاه,Lebanon,normal
صبِح ربك يا رجل,Lebanon,normal
ندري انك وسخ بس عشان م تضحك,Lebanon,hate
منكون هبل اذا مفكرين جبران باسيل مش قابض حق تصاريحو وخاصة أمن اسرائيل وحقها بالوجود,Lebanon,normal
جبران باسيل وعمه المجرم الهارب عون,Lebanon,normal
لعنة الله عليك وعلى إيران يا خنزير,Lebanon,hate
شكلك يا هانم هائمة و مش عارفة شو في بجنوب العز و الكرامة بصراحة كلامك هو التنك طلعي وشوف,Lebanon,normal
من كتر ما عميسرقوا انترنت,Lebanon,normal
وبصفتنا مغاربة لا نقبل دعم من خاننا في يوم الايام وكان يشتمنا يا شارب بول البعير,Lebanon,normal
أنا بوصلو عنك ماتعتلي هم يلا وئامو هههههههههههههههههههههههههههههههههههههههههههههه,Lebanon,normal
حاجتك تغريد يا سمج والله العالم قرفتك,Lebanon,abusive
للى بيقولوا لبس البنت سبب التحرش,Lebanon,hate
التصر يح هذا يأتي ضمن استراتيجية اطالة امد الحر ب لتستفيد من بيع الاسلحه خبر  خييث ينقله خنازير  الاخوان امثالك,Lebanon,hate
أود أن أسأل سماحتكم، كيف تحدد نوعية العلاقة أو ما هو تشخيصكم للعلاقة القائمة بينكم وبين الحليف ووزير الخارجية ورئيس…,Lebanon,normal
سؤال ليش نفس الأشخاص تعليقات؟,Lebanon,normal
يا عمّي عم نحكي قمّة إقتصادية و دعم الاقتصاد و ملف نازحين و صناديق استثمارية  كلّو كرمال يتحسّن شوي وضع,Lebanon,normal
قصدو الاوباش لي بيشبهو رجا الزهيري ولي ع شاكلتو ، إذا بعد ما عمل نائب معو مسلحين بيفتحو جبهة وسكروا الطريق لينزل حضرتو واطلقوا النار ع العالم فكيف ليعمل نائب ، وإذا عم تحكي من منطلق طائفي بدعي كل سني وبش حسب تعبيرك ما يصوت لمعاليك بقضاء الشو,Lebanon,hate
هو حد جاب سيرتك ولا لازم تبوس الجزم و تعيش راكع حتي لو عايش في قطر هما بيدوك احسان ولا مرتب,Lebanon,abusive
مااعرف ليش بعض الحريم تحسس العالم ان الرجال عضو من اعضائها لو نقص ولا ماكان موجود بتجلسين…,Lebanon,hate
وئام وهاب دون كيشوت لبنان الا انه معدل حيث ان دون كيشوت الحقيقي كان رجل نبيل يتخيل ما لا وجود له,Lebanon,normal
روح ضبضب,Lebanon,normal
اهل الشام احتضنوا العراقيين الشيعة والصفويون مرتزقة حسن وقبلهم الارمن فكان الرد هو الغدر ،،، خنازير لا يؤمن شرهم,Lebanon,hate
رسمة قديمة رسمتها لرزان زيتونة رزان تمثل لي أحلى شي بسوريا وأحلى شي بثورة,Lebanon,normal
مسألة وقت و كلو بينتسا الادلة بتختفي اوبتبقى بالمحاكم القضية بعد شي أربعين سنة بتمرجحو بالموضوع لاغراض,Lebanon,normal
يخرب بيتك ما ابشعك,Lebanon,abusive
لهدا نقول على شاربي بول البعير الابتعاد عن كرة القدم,Lebanon,hate
هذا كلام خنازير يهود العرب وهؤلاء من علامات الساعة,Lebanon,hate
ولو يا د فياض ما تترك حقدك على جبران باسيل يضيع موضوعيتك,Lebanon,abusive
روينا دعائك يا متبرجه,Lebanon,hate
انتوا الحريم تحبون المشاكل الله يجيرنا منكم,Lebanon,hate
يتوجه وزير الخارجية والمغتربين في حكومة تصريف الاعمال جبران باسيل الى سويسرا للمشاركة في منتدى دافوس الاقتصادي,Lebanon,normal
خراس يا كديش,Lebanon,abusive
بص ياحياتها من امبارح وبنقول الصوره مفبركه والاستدلال فاسد ومافيش فايده فى عقل الخنزير اللى انت حاطه وعاوز تقارن ها…,Lebanon,normal
وانت من الدروز يافيصل وبتكتبو الخضر وشعيب وشبعرفني شو نسيت نجمتك الخماسية يا فلاح يا ضيعجي,Lebanon,hate
عمرك شفت مصاري بتسحب عليك ؟ طب عمرك سمعت انه المصاري بتكذب ؟ مين وسخ الدنيا هسا ؟,Lebanon,hate
تهديد ووعيد وعبارات وألفاظ بقولك ايه يا خامئني شغل الرغي والمطلقين ده بتاع الحريم عندك دليل اشتغل يا معلم عارف موقع البيت الأبيض ولا أدلك,Lebanon,hate
هذه كلمة تقولها الحريم,Lebanon,normal
قزم العهد,Lebanon,abusive
إذا مفكر كل الناس تساق كالغنم متل ما أنت تساق فأكيد تفكيرك غلط وحسب هيدي الصورة شايفك تيس بس مش كبير تيس كتير صغير آه يا هبيلة,Lebanon,abusive
عم يقطع ويشلح حكي من دبي وهو للاسف مطلوب للمحكمة وقدر يسافر هاجم أمير قطر وآتَاه المدي…,Lebanon,normal
يا محلا عذاب الغرب من عذاب ايران وما تفعله من عذاب وتنكيل وتجويع وانحطاط اخلاقي لاهل العراق الابي,Lebanon,normal
اللذة انو هالحليفين ما بيفضحوا بعضن بالسرقة والفساد الا لما يدبكوها مع بعض,Lebanon,normal
بنت ابوها الله يحميكي ويحمي القائد انتم جبل في جبل♥,Lebanon,normal
حكومتك ياشارب بول البعير ألقت القبض على الجاني وبعدها اطلق صراحه لانه ابن شخ…,Lebanon,hate
كيف تعرفون سخافة وغباء عقول الحريم؟,Lebanon,hate
أنا ماغادي نتضامن مع هاد الفيمينستس دالمغرب تايقولو ليا معايير التمييز بين التحرش من إبداء الإعجاب. ديك الساعة نقرر…,Lebanon,hate
مو جبران باسيل لي يقرر إن أمن إسرائيل حق والا ما حق,Lebanon,normal
المذكوره أعلاه لها مقاطع في اليوتوب عندما كانت بقره حلوب متبرجه ومن كلامها في…,Lebanon,hate
لا في الجيش السعودي بس هو مشغول شويه ف بول البعير,Lebanon,normal
ما خصك ما دخلك افرنقع,Lebanon,abusive
انو انت شو شريف ما انت اكبر لص,Lebanon,abusive
افهم ما قاله جبران باسيل وأتفهمه، كما افهم موقف حدا جذري متل اسعد ابو خليل، لكن لا افهم ولا اتفهم من يخون هذا او ذا…,Lebanon,normal
هيدي مزرعه و مليانه بهايم و طول عمرها تابعه للاحزاب و بعمرها ما كانت بلد,Lebanon,abusive
وللأسف فنهاد المشنوق واحد ممن يحكمون على اساس انه مسؤول يمثل طائفته لا وطنه فيدافع عن المرتكب والجاني و…,Lebanon,normal
استغفر الله العظيم كاتب سبحان الله وتكلم كلام وسخ شن…,Lebanon,normal
صحافة أردوغان بلشت تخوّف أوروبا من موجة لاجئين جديدة شكله الحدود التركية رح تتسكر بوش يلي بده يحاول يطلع من إدلب,Lebanon,normal
اكيد ، شرابين بول البعير في وادي والشعوب الثانيه في وداي اخر,Lebanon,hate
من كلام الناس وعيون : الحريم,Lebanon,normal
انت حبيت تفوت بجدال لعيونك بس كنت خليك محترم سيد حسن بيقولو وتاني شي مع سيد حسن وعلى رأس السطح,Lebanon,normal
بيت وسخ بصحيح.,Lebanon,hate
يا ترى من من النظام العربية التي ستساعد الدول المنكوبة على إستعادة عافيتها مو حكام العرب كلهم خونه,Lebanon,normal
كس امك ياعار هيه عاهره صاقطه شجاب ذولى عليهم بس انته جماعة #بول_البعير_تموتون_من_الشيعه ي…,Lebanon,abusive
ع قولة اخوي ميسي كويس بس اللي حواليه عرصات,Lebanon,abusive
بول البعير اطهر واشرف من حثالة الشيعه واتباعهم,Lebanon,hate
عزيزي وئام وهاب و ايه نعم رفعت الكلفة لأن حتّى كلمة استاذ كبيرة عليك انت اكبر منافق و اكبر جبان,Lebanon,abusive
من حقد العواذل وعيون #الحريم!!,Lebanon,hate
عجبَكْ هيك استاذ وئام فهمنا انّه الولد العاطل بيجيب لأهله المسبّة بس كتير هيك قلّلوا تهذيب معك يلّلا…,Lebanon,normal
جبت البطاقه وبقيت اتحسب فرد منك يا دوله ، خلاص هندوس ع خلق الله,Lebanon,hate
ولكن الجواهري الكبير قال سلاما ايها الاسد سلمت ويسلم البلد وتسلم امه فخرت بانك فخر من تلد,Lebanon,normal
مشتهي اضربو كف و قلوانا بكرهك بكرهك بكرهك,Lebanon,abusive
ياحافى النعال يناكح المعيز ياشارب بول البعير,Lebanon,hate
جحش ابن جحش انت  ولي مش موقع القوات ناقلو يلا سلّم على مفجر الكنائس عفوا مفجر صالون الكنائس,Lebanon,abusive
و انت يا ابو امارات بنفس الزورق معهم,Lebanon,normal
محدش شهر بتاع الكبسة داه غيرنا احنا اللي عاملنا من شخصية واحنا اللي هندوس عليا,Lebanon,hate
لو ما عاجبتك عندك ١٠٠٠ قناة عربية تتكلم عن فوائد شرب بول البعير و لقاءات مع شيوخ على…,Lebanon,normal
هذا المنحط والمعروف عنه مخبر حقير واسألوا لبنانيين عنه وهو مستعد يبيع اهله لمن يدفع ومجرم وتجار مخدرات,Lebanon,abusive
انت متهم اول لانك اكبر سرمايه عربيه,Lebanon,abusive
الحمار له عقل أما الروافض فلا عقل لهم إمعات يتبعون كل ناعق وكل دجال وكل مهذري فتجدهم يضلوا خلق كثير وهم أضل خنازير,Lebanon,hate
اضرب و الريح تصيح,Lebanon,normal
وهذا ابلغته لمرجع كيير الا يعد هذا تدخل بعمل القضاء,Lebanon,normal
لكن الغريب في هذا التقرير ان السعودين يشربون بول البعير فهم معذورين في سلوكهم,Lebanon,hate
ولك خرااااس العمى بقلبك شو كتتتتير حكي ومبعبع عالفاضي كلك وطخنك معبى هوا العمى بقلبك ما أتقل دمك العقاب لوهاب,Lebanon,abusive
لازم نبيد الغوطة كلها لازم نقتل كل سني لازم نقتل كل شخص رافض ظلم بشار الأسد,Lebanon,hate
د. ثريا بشعلاني من #الفاتيكان: #اللاجئون_الفلسطينيون يعانون منذ ٧٠ عاما ويحق لهم أيضا #العودة الى أرضهم ونحن مدعوون…,Lebanon,normal
لا اكيد مش كل ما عووا كلب منقتلو في كتير احتمالات منكبلن عظمة منضربن بحجر,Lebanon,abusive
مصادر التيار الوطني الحر تنفي عبر ال  او تي في ما تم تداوله عبر بعض وسائل الاعلام,Lebanon,normal
لا خنازير احلا,Lebanon,hate
ممحونه ديوثه ديوث تعالو ببي e355847a,Lebanon,hate
ليش ما قاهركن الا الوزير جبران باسيل لو بتفكوا شوي عن سماه منا وجر,Lebanon,normal
يا جماعة عيد حضرة مبارك لنا ولكم من الشيخ كوربن بس اذا حدا بيشرحلي شو هاد عيد الحضرة أكن لهم من الشاكرين,Lebanon,normal
بالله عليك يا روح طم اسرائيل بالبحر حتى روح ساعدك,Lebanon,normal
موتوا بغيظكم ليش قادتكم ماشربوا بول البعير كلما اردنا ان نبتعد عن الجيفة الطائفية اقحمتم انوفكم في مجا…,Lebanon,hate
بعض المغردين لي بينعقوا مع كل ناعق بيقبض يسمعو منيح السيد شو عم يحكي عن الرئيس عون و الوزير جبران باسيل,Lebanon,normal
فالمسؤولين فيه ما عادوا مسؤولين لبنانيين بل اصبحوا طوائفيين,Lebanon,normal
لعنه الله عليك ي شيعي ي حقير ي واطي يابن ست وستين كلب,Lebanon,hate
نساء متبرجه +شباب بكامل الاناقه,Lebanon,hate
سد نيعك يا وسخ شيخ سعد صباطو بشرف عيلتك يا كلب,Lebanon,abusive
انظروا الى الخبر بشان صهر الرئيس,Lebanon,normal
معالي الوزير نحتاج الى فكر سياسي جديد,Lebanon,normal
بن عاقول  هذا ماكل لحم خنزير الله يكرمك  ماعنده شرف ولا شي يكثر من البطل ويجي يدش في اعراض النا…,Lebanon,hate
انت لازمك حكيم بيطري ليعرف وجعك ههههه حرام العماد عثمان عاملة عقدة,Lebanon,abusive
لطالما في مين يسوق دول الخليج فاالرحمة على الأمة العربية,Lebanon,normal
هل تعلم يا عزيزي ان اي شخص يستعمل كلمة فينيقيا للدلالة على لبنان هو حمار معبا ببنطلون,Lebanon,abusive
اكيد قابظ شي مبلغ مرتب لسكت,Lebanon,abusive
شي طبيعي قناة خنازير  #الجزيرة_تطعن_بالقران_الكريم,Lebanon,hate
يخرب بيتك ماعرفتك,Lebanon,abusive
فعلا اما دولة او لا دولة,Lebanon,normal
احترم نفسك يا وسخ ..,Lebanon,hate
اصلن مدعوس بس زيادة الخير خير,Lebanon,normal
معه حق  سلام .لما بلد كامل بيحلل التحرش بتصير ثقافته  هيك للاسف,Lebanon,hate
أنا واحد من البشر بكره الفلاحين,Lebanon,hate
رجعنا مجبورين الخاطر يارب.. افريقيا ياأهلي,Lebanon,normal
اتمنى من الدوله بعد ان صف الجرذ جبران باسيل اللبناني وزير خارجية لبنان بصف دويلة قطر ووصف المقاطعه بالحصاار ان يتم ترحيل اللبن…,Lebanon,hate
يا بايره ياعانس,Lebanon,hate
جبران باسيل مالئ الدنيا و شاغل الناس حسد و لّا ضيقة عين,Lebanon,normal
ولادة خنزير بوجه إنسان في الصين,Lebanon,normal
متبرجه ومبتذله بكلامها وتنتقد رجال الدين شئ عجيب فعلاً انه آخر الزمان,Lebanon,hate
مشيخة السرقة وباكاوية النهب والكذب والدجل والعمالة,Lebanon,hate
فيه خنازير تروح,Lebanon,hate
مهم انت تقول مين نسمي أهم شي و وين بحب قلك وجودك متل قلتك احترم حالك كرمال ما تضحك عليك الشعب,Lebanon,abusive
تضرب منك لحزب اللات عمللء ياطشم,Lebanon,hate
رحم الله الشهيد وسام الحسن,Lebanon,normal
الصعلوك هم امثالك يا حقير يا نكرة يا نجس.. انت و امثالك عبيد قردوغان الصهيون…,Lebanon,hate
ياخنزيره الشعب السعودي شعب وفي شعب يحب قيادته شعب يثق في قيادته شعب يحب أمنه شعب يحب إستقراره شعب شاف ماح…,Lebanon,hate
بعد عودتها من مسيرة مناهضة التحرش metoo# قابلت طالبا اخر من جامعة ولاية ميزوري وخرجت معه للشرب في أكثر من حانة،ولما…,Lebanon,hate
اي لان كلكم بعورة همج... العراق بلد حمورابي والجنائن المعلقة وبلاد مابين النهرين و…,Lebanon,hate
رئيس روحي؟ تروح روحك انت وكل مين شدّ عمشدّك مش تنعترف بدار خلدة وأميرها الصغير بالأول يا حبيب قلبه لعطوفته…,Lebanon,abusive
ما حدا قاهرك غير عماد عثمان إنشاءالله بضلو قاعد على قلبك وشوكة بعينك,Lebanon,normal
كل الحملة المسعورة على جبران باسيل اليوم لتغطية هيدا الخبر الخيانة العظمى,Lebanon,normal
جماعة هو الحملة بتاعة التحرش خلصت و ماسكين فالbullying ؟,Lebanon,normal
سبحان الله وين ما بروح بياخد الخراب معو شو هالبومة هيدا ولك شو هالغراب انشالله يهرب عالسفارة و يبعتوا عاسرائيل…,Lebanon,abusive
ما ينفع للمسلمين فيه خنزير,Lebanon,hate
معالي الوزير علاء الخواجى مثله كمثل رفيق الحريري عندما كان في السعودية يدير اتفاق الطائف حتى يستفرد به…,Lebanon,normal
صباح الكسمك يا ميونخ يا مدينة خرى بنت وسخة,Lebanon,hate
انت واحد ابن زنا اشخاص مثلك اكدر اقطع جلدهم كل يوم تفو ابن خنزير مريض نفسي انصحك تروح طبيب,Lebanon,hate
يا عمي انا مستعدة وصلو ع حسابي بس يحل عننا,Lebanon,normal
ديعانك ختيرتي,Lebanon,normal
بتقعد معي بالكافيه نص ساعة إيد عالأرغيلة وإيد عالوتساب وبتقلي ليش ساكت؟ 😎,Lebanon,normal
حرب شرسه على المرآه وحجابها من كل مكان الاعلام التعليم الطب تسهيل التبرج وتمرير كشف الوجه ب…,Lebanon,normal
قديشك واطي يا مارسيل السيد نصر الله مش بس بي الشيعة هو بي كل لبنان وكل حر عندو كرامة بهالدني واكيد انت ما عندك ياها ولك تفيييي صار الوقت,Lebanon,abusive
ما حدا بموت و إلو عند التاني شي يا قائد العين بالعين والسن بالسن والبادي أظلم انشالله بكرا بذوب الثلج وببان المرج,Lebanon,normal
ليش عندهم التحرش ظاهرة خطيرة مع ان الدعارة مرخصة ومراقص الستريب تيز وشواطىء العراة محذفة بكل مكان؟,Lebanon,hate
مين بيدفع اكتر بكون معو   ♀,Lebanon,normal
حسن الشر حسن الكراهيه والمقت حسن يكسر الصمت كسر الله حنكه من سيسمعه؟؟ ميشيل عون نبيه بري جبران باسيل,Lebanon,abusive
تلحس اجري شقفة جحش,Lebanon,abusive
بسيطة هلق بيفقعون خطاب كلو مشاعر وشوية طائفية بيمشي الحال وبتروح الريحة,Lebanon,normal
هو ليه الاعلام الرياضي كله زعلان  وعايزين الأهلي يلعب ماتش الهلال. الغير معترف بيه دوليا وعنده ماتشات افريقيا   بلا…,Lebanon,normal
لما قال علي قلعة مصر ورمزها النادي الاهلي عصابه ونصابين وحراميه ده وزير ولا بلطجي وسخ هو والي نشجعه علي امال ماهر دمرها,Lebanon,hate
شو صار بالاخبار المقدّم ضد حضرتك من قبل مجموعة من المحامين بجرم اثارة الفتن والتعرض للسلم الأهلي؟,Lebanon,normal
بالفيديو: ضربوه حتى الموت.. هذا ما فعله هندوس بشاب مسلم في الهند على مرأى رجال الشرطة !,Lebanon,normal
لعنة الله على قاتل السوريين و ليش ما تتكلم عن اليمن لعنة الله على قاتل اليمنيين و ليش ما تتكلم عن العراق لعنة الله على قاتل العراقيين و ليش ما تتكلم عن فلسطين لعنة الله على قاتل الفلسطينيين و ليش ما تتكلم عن ليبيا لعنة الله عليك و عالساعة الي شفتك فيها,Lebanon,normal
نيتك هيا للي حترسملك حياتك كلها فلو نيتك امسخه ومش نظيفه ونتا إنسان وسخ حتنفضح حتنفضح يا زباله ☺️,Lebanon,hate
لا دا هندوس علي وشهم متقلقش,Lebanon,hate
حتى فيصل الزفت القاسم,Lebanon,abusive
زعلانة عليك يا رامبو زمانك انت,Lebanon,normal
صحيفة جبران باسيل يزور دمشق قريبًا,Lebanon,normal
بجد كلامك صحيح وانت اول الكلاب طبعا و الكلاب كثرت في هذا الزمن اكيد,Lebanon,abusive
فخامة الفراغ,Lebanon,normal
كول هوا لك ياغبي,Lebanon,abusive
صباح الابتسامة,Lebanon,normal
كول هوا  مك على ام فالفيردي,Lebanon,abusive
نأمل ان يزداد الوعي لدى الجميع ..فمشكلة التحرش اصبحت مقلقه للجميع,Lebanon,normal
معالي الوزير اعمل بلوك لهذا الحيوان,Lebanon,abusive
هندوس بالي، حكومة وشعبا،ممتعضان من تصرف السياح، بسبب ظهورهم بالبيكيني في المعابد الهندوسية. وجاري اتخاذ الإجراءات ا…,Lebanon,normal
و انت يا وديع خليك ساكت احسن ما تاكل نصيبك نحن ما حدا بسكتنا و الي بيغلط مندعسو,Lebanon,abusive
وين بيلقوها الكلبه يلي تقبل ترضع خنازير حاشاك,Lebanon,hate
والله ماحدا مريض نفسي غيرك الله يشفيك,Lebanon,normal
روحي انقبري انشغلي بشي عمستوى تفكيرك الخرا وتركينا من تنظيراتك وفلسفتك لا تدخلي فينا ويلا عالمطبخ,Lebanon,hate
محوا تغريداتكم يا جهلة,Lebanon,abusive
السديرية توحمت على بول البعير,Lebanon,normal
خراس ونضب وين وطنيتك يا زمك وقت ابو دشداشة ببهدل دولتك ورئيسك خراس ونضب,Lebanon,abusive
شو لبنان ملك بيك او ملك غيرك شو جايي عالجاهلية هوي,Lebanon,normal
افضل مطعم لنكاوي لأنهم مسلمين بالنسبه لمطعم السلطان هندوس,Lebanon,normal
سورية سنية وستبقى سنية وحسبي الله ونعم الوكيل بالعرب الخونة الذين باعوا الشعب السوري بالرخيص فليفرح ابن زايد وكل كلب عربي دعم بشار الجحش,Lebanon,hate
مابه بايره,Lebanon,hate
لكل منا رأيه شكرا لكم,Lebanon,normal
لمتييييين لمتيين يا ابشرا ؟ لمتين بايرة لي سنتين ي ابشرا,Lebanon,hate
بس تعرفي تكتبي بالعربي نجاوبك,Lebanon,normal
ياعالم مقتل 16 في سجون ذيل الكلب تحت التعذيب في سوريا ويمكن فرحانين بالخبر  قسماً بالله لو لي من الامر شيء في هاذه…,Lebanon,hate
ولوكان طلع ولد ودافع عن التحرش لكان سمع ماسمع. والشيخ لم قال كدة بيقصد اللبس بيشجع ع…,Lebanon,hate
